,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding
4/29/2018,NVDA,3.207 B,1.139 B,542 M,11.460 B,3.743 B,797 M,606 M
7/29/2018,NVDA,3.123 B,1.148 B,581 M,12.882 B,4.087 B,1.090 B,607 M
10/28/2018,NVDA,3.181 B,1.260 B,605 M,13.657 B,4.182 B,1.417 B,609 M
1/27/2019,NVDA,2.205 B,998 M,647 M,13.292 B,3.950 B,1.575 B,606 M
4/28/2019,NVDA,2.220 B,924 M,674 M,14.021 B,4.317 B,1.426 B,607 M
7/28/2019,NVDA,2.579 B,1.038 B,704 M,14.775 B,4.439 B,1.204 B,609 M
10/27/2019,NVDA,3.014 B,1.098 B,712 M,15.810 B,4.596 B,1.047 B,610 M
1/26/2020,NVDA,3.105 B,1.090 B,738 M,17.315 B,5.111 B,979 M,612 M
4/26/2020,NVDA,3.080 B,1.076 B,735 M,23.254 B,10.155 B,1.128 B,614 M
7/26/2020,NVDA,3.866 B,1.591 B,997 M,25.180 B,11.266 B,1.401 B,616 M
10/25/2020,NVDA,4.726 B,1.766 B,1.047 B,26.881 B,11.547 B,1.495 B,618 M
1/31/2021,NVDA,5.003 B,1.847 B,1.146 B,28.791 B,11.898 B,1.826 B,620 M
5/2/2021,NVDA,5.661 B,2.032 B,1.153 B,30.796 B,12.022 B,1.992 B,621 M
8/1/2021,NVDA,6.507 B,2.292 B,1.245 B,38.650 B,17.503 B,2.114 B,2.493 B
10/31/2021,NVDA,7.103 B,2.472 B,1.403 B,40.632 B,16.834 B,2.233 B,2.499 B
1/30/2022,NVDA,7.643 B,2.644 B,1.466 B,44.187 B,17.575 B,2.605 B,2.506 B
5/1/2022,NVDA,8.288 B,2.857 B,1.618 B,45.212 B,18.892 B,3.163 B,2.506 B
7/31/2022,NVDA,6.704 B,570 M,1.824 B,43.476 B,19.625 B,3.889 B,2.495 B
10/30/2022,NVDA,5.931 B,2.754 B,1.945 B,40.488 B,19.139 B,4.454 B,2.483 B
1/29/2023,NVDA,6.051 B,2.218 B,1.952 B,41.182 B,19.081 B,5.159 B,2.466 B
3/31/2018,TSLA,3.409 B,2.485 B,367.096 M,27.271 B,21.551 B,2.566 B,169.750 M
6/30/2018,TSLA,4.002 B,2.860 B,386.129 M,27.910 B,22.643 B,3.325 B,170.516 M
9/30/2018,TSLA,6.824 B,-5.313 B,351 M,29.263 B,23.409 B,3.314 B,171.578 M
12/31/2018,TSLA,7.226 B,25.289 M,356 M,29.740 B,23.427 B,3.113 B,172.603 M
3/31/2019,TSLA,4.541 B,80.843 M,340 M,28.913 B,22.875 B,3.837 B,173.682 M
6/30/2019,TSLA,6.350 B,34.829 M,324 M,31.873 B,24.722 B,3.382 B,179.118 M
9/30/2019,TSLA,6.303 B,51.328 M,334 M,32.795 B,25.313 B,3.581 B,180 M
12/31/2019,TSLA,7.384 B,26 M,345 M,34.309 B,26.199 B,3.552 B,181 M
3/31/2020,TSLA,5.985 B,45 M,324 M,37.250 B,26.518 B,4.494 B,185 M
6/30/2020,TSLA,6.036 B,43 M,279 M,38.135 B,26.754 B,4.018 B,186 M
9/30/2020,TSLA,8.771 B,41 M,366 M,45.691 B,28.143 B,4.218 B,948 M
12/31/2020,TSLA,10.744 B,149 M,522 M,52.148 B,28.418 B,4.101 B,960 M
3/31/2021,TSLA,10.389 B,75 M,666 M,52.972 B,28.507 B,4.132 B,963 M
6/30/2021,TSLA,11.958 B,36 M,576 M,55.146 B,28.896 B,4.733 B,984 M
9/30/2021,TSLA,13.757 B,35 M,611 M,57.834 B,29.340 B,5.199 B,1.004 B
12/31/2021,TSLA,17.719 B,149 M,740 M,62.131 B,30.548 B,5.757 B,1.033 B
3/31/2022,TSLA,18.756 B,197 M,865 M,66.038 B,30.632 B,6.691 B,1.036 B
6/30/2022,TSLA,16.934 B,82 M,667 M,68.513 B,30.855 B,8.108 B,1.041 B
9/30/2022,TSLA,21.454 B,97 M,733 M,74.426 B,33.302 B,10.327 B,3.158 B
12/31/2022,TSLA,24.318 B,143 M,810 M,82.338 B,36.440 B,12.839 B,3.164 B
3/31/2018,META,11.966 B,1.927 B,2.238 B,88.945 B,11.325 B,0,2.906 B
6/30/2018,META,13.231 B,2.214 B,2.523 B,90.291 B,10.909 B,0,2.895 B
9/30/2018,META,13.727 B,2.418 B,2.657 B,92.452 B,12.110 B,0,2.885 B
12/31/2018,META,16.692 B,2.796 B,2.855 B,97.334 B,13.207 B,0,2.875 B
3/31/2019,META,15.077 B,2.816 B,2.860 B,109.477 B,22.961 B,0,2.856 B
6/30/2019,META,16.883 B,3.307 B,3.315 B,117.006 B,28.244 B,0,2.855 B
9/30/2019,META,17.648 B,3.155 B,3.548 B,124.418 B,30.419 B,0,2.854 B
12/31/2019,META,20.966 B,3.491 B,3.878 B,133.376 B,32.322 B,0,2.851 B
3/31/2020,META,17.734 B,3.459 B,4.015 B,138.371 B,33.067 B,0,2.851 B
6/30/2020,META,18.683 B,3.829 B,4.462 B,139.691 B,29.244 B,0,2.850 B
9/30/2020,META,21.466 B,4.194 B,4.763 B,146.437 B,28.706 B,0,2.850 B
12/31/2020,META,27.940 B,5.210 B,5.207 B,159.316 B,31.026 B,0,2.854 B
3/31/2021,META,26.167 B,5.131 B,5.197 B,163.523 B,29.866 B,0,2.847 B
6/30/2021,META,29.073 B,5.399 B,6.096 B,170.609 B,32.382 B,0,2.834 B
9/30/2021,META,29.006 B,5.771 B,6.316 B,169.585 B,36.225 B,0,2.814 B
12/31/2021,META,33.527 B,6.348 B,7.046 B,165.987 B,41.108 B,0,2.764 B
3/31/2022,META,27.904 B,6.005 B,7.707 B,164.218 B,40.990 B,0,2.725 B
6/30/2022,META,28.818 B,5.192 B,8.690 B,169.779 B,44.012 B,0,2.704 B
9/30/2022,META,27.710 B,5.716 B,9.170 B,178.894 B,54.800 B,0,2.682 B
12/31/2022,META,31.920 B,8.336 B,9.771 B,185.727 B,60.014 B,0,2.639 B
6/30/2018,NFLX,3.907 B,2.290 B,299.095 M,22.664 B,18.167 B,4.804 B,435.458 M
9/30/2018,NFLX,3.999 B,2.412 B,308.620 M,23.366 B,18.357 B,4.988 B,436.085 M
12/31/2018,NFLX,4.187 B,3.069 B,327.975 M,25.974 B,20.736 B,5.151 B,436.599 M
3/31/2019,NFLX,4.521 B,2.871 B,372.764 M,27.219 B,21.516 B,0,437.192 M
6/30/2019,NFLX,4.923 B,3.006 B,383.233 M,30.171 B,24.066 B,0,437.835 M
9/30/2019,NFLX,5.245 B,3.098 B,379.776 M,30.942 B,24.080 B,0,438.251 M
12/31/2019,NFLX,5.467 B,3.466 B,537.227 M,33.976 B,26.394 B,0,438.807 M
3/31/2020,NFLX,5.768 B,3.600 B,453.817 M,35.060 B,26.651 B,0,439.781 M
6/30/2020,NFLX,6.148 B,3.644 B,435.045 M,37.175 B,27.841 B,0,441.015 M
9/30/2020,NFLX,6.436 B,3.868 B,453.802 M,38.623 B,28.289 B,0,441.795 M
12/31/2020,NFLX,6.644 B,4.165 B,486.936 M,39.280 B,28.215 B,0,442.895 M
3/31/2021,NFLX,7.163 B,3.869 B,525.207 M,40.123 B,27.239 B,0,443.384 M
6/30/2021,NFLX,7.342 B,4.018 B,537.321 M,40.971 B,27.107 B,0,442.596 M
9/30/2021,NFLX,7.483 B,4.207 B,563.887 M,42.740 B,27.425 B,0,442.952 M
12/31/2021,NFLX,7.709 B,5.240 B,647.470 M,44.585 B,28.735 B,0,443.963 M
3/31/2022,NFLX,7.868 B,4.285 B,657.530 M,45.331 B,27.787 B,0,444.274 M
6/30/2022,NFLX,7.970 B,4.691 B,716.846 M,46.351 B,27.275 B,0,444.706 M
9/30/2022,NFLX,7.926 B,4.789 B,662.739 M,47.562 B,27.034 B,0,445.020 M
12/31/2022,NFLX,7.852 B,5.404 B,673.926 M,48.595 B,27.817 B,0,445.347 M
3/31/2023,NFLX,8.162 B,4.804 B,687.275 M,49.490 B,27.662 B,0,444.537 M
4/30/2018,CRM,6.180 B,767 M,424 M,22.963 B,11.903 B,0,729 M
7/31/2018,CRM,3.384 B,849 M,463 M,25.823 B,12.295 B,0,747 M
10/31/2018,CRM,3.356 B,889 M,481 M,26.588 B,11.895 B,0,760 M
1/31/2019,CRM,3.603 B,946 M,518 M,30.737 B,15.132 B,0,770 M
4/30/2019,CRM,3.964 B,914 M,554 M,33.154 B,16.708 B,0,771 M
7/31/2019,CRM,4.029 B,967 M,607 M,33.336 B,16.170 B,0,776 M
10/31/2019,CRM,4.625 B,1.134 B,774 M,49.942 B,16.663 B,0,879 M
1/31/2020,CRM,4.851 B,1.220 B,831 M,55.126 B,21.241 B,0,893 M
4/30/2020,CRM,5.199 B,1.254 B,859 M,53.623 B,19.058 B,0,896 M
7/31/2020,CRM,5.294 B,1.311 B,898 M,57.780 B,19.340 B,0,904 M
10/31/2020,CRM,5.412 B,1.394 B,902 M,59.136 B,18.826 B,0,911 M
1/31/2021,CRM,6.122 B,1.479 B,939 M,66.301 B,24.808 B,0,919 M
4/30/2021,CRM,6.369 B,1.555 B,951 M,64.885 B,22.318 B,0,921 M
7/31/2021,CRM,7.085 B,1.613 B,1.020 B,88.658 B,33.138 B,0,933 M
10/31/2021,CRM,7.403 B,1.844 B,1.203 B,87.436 B,30.382 B,0,980 M
1/31/2022,CRM,7.272 B,2.014 B,1.291 B,95.209 B,37.078 B,0,989 M
4/30/2022,CRM,7.492 B,2.045 B,1.318 B,93.022 B,34.146 B,0,991 M
7/31/2022,CRM,7.839 B,2.127 B,1.329 B,94.148 B,34.050 B,0,997 M
10/31/2022,CRM,7.786 B,2.088 B,1.280 B,91.884 B,32.533 B,0,997 M
1/31/2023,CRM,8.096 B,2.100 B,1.128 B,98.849 B,40.490 B,0,1.009 B
3/31/2018,AMD,1.615 B,1.050 B,343 M,3.763 B,3.048 B,715 M,969 M
6/30/2018,AMD,1.725 B,1.104 B,357 M,4.103 B,3.224 B,750 M,975 M
9/30/2018,AMD,1.623 B,992 M,363 M,4.347 B,3.222 B,738 M,999 M
12/31/2018,AMD,1.390 B,882 M,371 M,4.556 B,3.290 B,845 M,1.005 B
3/31/2019,AMD,1.291 B,751 M,373 M,4.931 B,3.143 B,955 M,1.082 B
6/30/2019,AMD,1.506 B,910 M,373 M,5.102 B,3.201 B,1.015 B,1.086 B
9/30/2019,AMD,1.737 B,1.024 B,406 M,5.253 B,3.077 B,1.040 B,1.114 B
12/31/2019,AMD,2.109 B,1.178 B,395 M,6.028 B,3.201 B,982 M,1.170 B
3/31/2020,AMD,1.755 B,968 M,442 M,5.864 B,2.827 B,1.056 B,1.171 B
6/30/2020,AMD,1.918 B,1.084 B,460 M,6.583 B,3.278 B,1.324 B,1.174 B
9/30/2020,AMD,2.790 B,1.571 B,508 M,7.023 B,3.156 B,1.292 B,1.202 B
12/31/2020,AMD,3.235 B,1.793 B,573 M,8.962 B,3.125 B,1.399 B,1.211 B
3/31/2021,AMD,3.422 B,1.858 B,610 M,10.047 B,3.570 B,1.653 B,1.215 B
6/30/2021,AMD,3.840 B,2.020 B,659 M,10.691 B,3.626 B,1.765 B,1.213 B
9/30/2021,AMD,4.306 B,2.227 B,765 M,11.153 B,4.017 B,1.902 B,1.212 B
12/31/2021,AMD,4.845 B,2.400 B,811 M,12.419 B,4.922 B,1.955 B,1.207 B
3/31/2022,AMD,5.859 B,3.069 B,1.060 B,66.915 B,11.582 B,2.431 B,1.620 B
6/30/2022,AMD,6.525 B,3.522 B,1.300 B,67.502 B,12.333 B,2.648 B,1.612 B
9/30/2022,AMD,5.534 B,3.211 B,1.279 B,67.811 B,13.269 B,3.369 B,1.612 B
12/31/2022,AMD,5.732 B,3.196 B,1.366 B,67.580 B,12.830 B,3.771 B,1.612 B
3/31/2018,INTC,16.678 B,6.335 B,3.311 B,128.596 B,58.431 B,7.146 B,4.660 B
6/30/2018,INTC,16.713 B,6.543 B,3.371 B,125.972 B,55.925 B,7.344 B,4.611 B
9/30/2018,INTC,18.829 B,6.803 B,3.428 B,128.242 B,56.759 B,7.401 B,4.564 B
12/31/2018,INTC,18.495 B,7.430 B,3.433 B,127.963 B,53.400 B,7.253 B,4.516 B
3/31/2019,INTC,15.733 B,6.972 B,3.332 B,129.458 B,55.797 B,7.765 B,4.477 B
6/30/2019,INTC,16.337 B,6.627 B,3.438 B,130.759 B,55.812 B,8.696 B,4.430 B
9/30/2019,INTC,19.029 B,7.895 B,3.208 B,133.768 B,59.526 B,8.638 B,4.350 B
12/31/2019,INTC,19.998 B,8.331 B,3.384 B,136.524 B,59.020 B,8.744 B,4.290 B
3/31/2020,INTC,19.686 B,7.812 B,3.275 B,147.710 B,71.356 B,9.246 B,4.234 B
6/30/2020,INTC,19.487 B,9.221 B,3.354 B,152.539 B,70.529 B,8.969 B,4.253 B
9/30/2020,INTC,18.161 B,8.592 B,3.272 B,145.261 B,70.707 B,9.273 B,4.098 B
12/31/2020,INTC,19.663 B,8.630 B,3.655 B,153.091 B,72.018 B,8.427 B,4.062 B
3/31/2021,INTC,19.398 B,8.819 B,3.623 B,150.622 B,70.815 B,8.487 B,4.038 B
6/30/2021,INTC,19.476 B,8.425 B,3.715 B,154.597 B,69.390 B,8.817 B,4.057 B
9/30/2021,INTC,19.002 B,8.446 B,3.803 B,167.962 B,77.875 B,9.798 B,4.067 B
12/31/2021,INTC,20.324 B,9.519 B,4.049 B,168.406 B,73.015 B,10.776 B,4.070 B
3/31/2022,INTC,18.353 B,9.109 B,4.362 B,176.356 B,73.220 B,11.935 B,4.089 B
6/30/2022,INTC,15.321 B,9.734 B,4.400 B,170.418 B,69.200 B,12.174 B,4.106 B
9/30/2022,INTC,15.338 B,8.803 B,4.302 B,174.841 B,74.956 B,12.831 B,4.127 B
12/31/2022,INTC,14.042 B,8.542 B,4.464 B,182.103 B,80.680 B,13.224 B,4.137 B
3/31/2018,PYPL,7.375 B,1.580 B,258 M,42.322 B,27.681 B,6.537 B,1.183 B
6/30/2018,PYPL,3.857 B,1.696 B,255 M,41.677 B,26.658 B,6.870 B,1.184 B
9/30/2018,PYPL,3.661 B,1.661 B,269 M,43.724 B,28.609 B,0,1.178 B
12/31/2018,PYPL,4.283 B,3.400 B,289 M,43.332 B,27.946 B,0,1.174 B
3/31/2019,PYPL,4.128 B,2.278 B,511 M,46.280 B,31.123 B,0,1.172 B
6/30/2019,PYPL,4.305 B,2.344 B,483 M,48.391 B,32.252 B,0,1.177 B
9/30/2019,PYPL,4.378 B,2.431 B,533 M,50.223 B,33.740 B,0,1.174 B
12/31/2019,PYPL,4.961 B,2.732 B,558 M,51.333 B,34.404 B,0,1.173 B
3/31/2020,PYPL,4.618 B,2.729 B,605 M,54.266 B,38.255 B,0,1.173 B
6/30/2020,PYPL,5.261 B,2.283 B,631 M,63.166 B,45.482 B,0,1.173 B
9/30/2020,PYPL,5.459 B,2.366 B,674 M,65.582 B,47.055 B,0,1.172 B
12/31/2020,PYPL,6.116 B,2.696 B,732 M,70.379 B,50.316 B,0,1.172 B
3/31/2021,PYPL,6.033 B,3.066 B,741 M,72.517 B,53.076 B,0,1.174 B
6/30/2021,PYPL,6.238 B,2.693 B,746 M,73.816 B,52.911 B,0,1.175 B
9/30/2021,PYPL,6.182 B,2.832 B,755 M,74.534 B,52.444 B,0,1.174 B
12/31/2021,PYPL,6.918 B,3.302 B,796 M,75.803 B,54.076 B,0,1.168 B
3/31/2022,PYPL,6.483 B,3.186 B,815 M,75.805 B,55.202 B,0,1.161 B
6/30/2022,PYPL,6.806 B,3.492 B,815 M,77.810 B,58.043 B,0,1.156 B
9/30/2022,PYPL,6.846 B,3.355 B,801 M,76.435 B,56.171 B,0,1.147 B
12/31/2022,PYPL,7.383 B,3.712 B,822 M,78.717 B,58.443 B,0,1.136 B
3/31/2018,ATVI,1.965 B,662 M,259 M,18.397 B,8.578 B,42 M,759 M
6/30/2018,ATVI,1.641 B,510 M,255 M,17.958 B,7.612 B,36 M,761 M
9/30/2018,ATVI,1.440 B,513 M,263 M,16.713 B,6.054 B,174 M,763 M
12/31/2018,ATVI,2.381 B,832 M,325 M,17.890 B,6.498 B,43 M,765 M
3/31/2019,ATVI,1.802 B,563 M,249 M,17.948 B,6.352 B,45 M,764 M
6/30/2019,ATVI,1.373 B,433 M,244 M,17.495 B,5.518 B,46 M,766 M
9/30/2019,ATVI,1.259 B,442 M,210 M,17.805 B,5.570 B,102 M,767 M
12/31/2019,ATVI,1.986 B,657 M,296 M,19.845 B,7.040 B,32 M,770 M
3/31/2020,ATVI,1.765 B,505 M,238 M,19.604 B,6.583 B,0,769 M
6/30/2020,ATVI,1.909 B,469 M,291 M,20.220 B,6.538 B,0,771 M
9/30/2020,ATVI,1.896 B,469 M,274 M,21.577 B,7.195 B,0,772 M
12/31/2020,ATVI,2.385 B,817 M,348 M,23.109 B,8.072 B,0,771 M
3/31/2021,ATVI,2.247 B,578 M,353 M,23.425 B,8.094 B,0,775 M
6/30/2021,ATVI,2.285 B,555 M,335 M,23.572 B,7.286 B,0,777 M
9/30/2021,ATVI,2.043 B,527 M,329 M,23.977 B,7.027 B,0,778 M
12/31/2021,ATVI,2.136 B,658 M,321 M,25.056 B,7.457 B,0,777 M
3/31/2022,ATVI,1.741 B,479 M,346 M,25.012 B,7.181 B,0,780 M
6/30/2022,ATVI,1.617 B,485 M,311 M,24.994 B,6.746 B,0,782 M
9/30/2022,ATVI,1.755 B,502 M,277 M,25.620 B,6.812 B,0,782 M
12/31/2022,ATVI,2.307 B,756 M,486 M,27.383 B,8.140 B,0,785 M
3/31/2018,EA,1.582 B,233 M,335 M,8.584 B,3.989 B,0,306 M
6/30/2018,EA,1.137 B,215 M,362 M,8.247 B,2.987 B,0,305 M
9/30/2018,EA,1.286 B,418 M,339 M,8.450 B,3.133 B,0,304 M
12/31/2018,EA,1.289 B,413 M,334 M,8.857 B,3.513 B,0,302 M
3/31/2019,EA,1.238 B,276 M,398 M,8.957 B,3.626 B,0,298 M
6/30/2019,EA,1.209 B,187 M,381 M,9.749 B,3.264 B,0,296 M
9/30/2019,EA,1.348 B,405 M,387 M,10.593 B,3.435 B,0,293 M
12/31/2019,EA,1.593 B,508 M,389 M,11.161 B,3.924 B,0,291 M
3/31/2020,EA,1.387 B,269 M,402 M,11.112 B,3.651 B,0,288 M
6/30/2020,EA,1.459 B,288 M,438 M,11.284 B,3.502 B,0,289 M
9/30/2020,EA,1.151 B,286 M,421 M,11.470 B,3.395 B,0,290 M
12/31/2020,EA,1.673 B,601 M,451 M,12.420 B,4.457 B,0,288 M
3/31/2021,EA,1.346 B,319 M,468 M,13.288 B,5.448 B,0,286 M
6/30/2021,EA,1.551 B,315 M,515 M,12.734 B,5.006 B,0,285 M
9/30/2021,EA,1.826 B,494 M,553 M,13.019 B,5.163 B,0,284 M
12/31/2021,EA,1.789 B,631 M,539 M,13.930 B,6.313 B,0,282 M
3/31/2022,EA,1.825 B,419 M,579 M,13.800 B,6.175 B,0,280 M
6/30/2022,EA,1.767 B,314 M,572 M,13.192 B,5.551 B,0,279 M
9/30/2022,EA,1.904 B,462 M,565 M,13.079 B,5.281 B,0,278 M
12/31/2022,EA,1.881 B,568 M,556 M,13.470 B,5.919 B,0,275 M
3/31/2018,TTD,84.968 M,22.897 M,17.701 M,739.056 M,476.125 M,0,41.629 M
6/30/2018,TTD,111.269 M,26.601 M,19.484 M,839.405 M,538.431 M,0,42.174 M
9/30/2018,TTD,118.667 M,29.344 M,22.621 M,873.713 M,536.699 M,0,42.721 M
12/31/2018,TTD,158.921 M,35.256 M,24.086 M,1.118 B,723.305 M,0,43.234 M
3/31/2019,TTD,120.654 M,33.651 M,25.312 M,1.082 B,652.979 M,0,43.906 M
6/30/2019,TTD,161.598 M,35.330 M,29.452 M,1.239 B,747.230 M,0,44.404 M
9/30/2019,TTD,166.366 M,39.932 M,29.185 M,1.415 B,879.647 M,0,44.771 M
12/31/2019,TTD,217.423 M,47.267 M,32.803 M,1.729 B,1.116 B,0,45.043 M
3/31/2020,TTD,161.508 M,40.208 M,36.794 M,1.767 B,1.093 B,0,45.501 M
6/30/2020,TTD,139.762 M,42.133 M,40.058 M,1.849 B,1.091 B,0,46.136 M
9/30/2020,TTD,216.826 M,44.826 M,41.079 M,2.138 B,1.306 B,0,46.582 M
12/31/2020,TTD,321.251 M,51.645 M,48.723 M,2.754 B,1.740 B,0,46.923 M
3/31/2021,TTD,220.769 M,50.500 M,53.918 M,2.603 B,1.518 B,0,47.282 M
6/30/2021,TTD,280.282 M,50.809 M,53.536 M,2.793 B,1.591 B,0,475.512 M
9/30/2021,TTD,300.372 M,53.400 M,55.847 M,2.989 B,1.686 B,0,478.101 M
12/31/2021,TTD,394.997 M,66.845 M,62.836 M,3.577 B,2.050 B,0,480.916 M
3/31/2022,TTD,315.668 M,63.890 M,71.999 M,3.433 B,1.784 B,0,484.190 M
6/30/2022,TTD,377.922 M,67.490 M,83.483 M,3.673 B,1.893 B,0,486.310 M
9/30/2022,TTD,397.106 M,70.124 M,79.915 M,3.924 B,2.010 B,0,487.963 M
12/31/2022,TTD,503.305 M,79.619 M,84.479 M,4.381 B,2.265 B,0,489.244 M
3/31/2018,MTCH,995.075 M,201.962 M,76.937 M,6.031 B,3.536 B,0,82.983 M
6/30/2018,MTCH,1.069 B,218.224 M,75.445 M,6.235 B,3.659 B,0,83.604 M
9/30/2018,MTCH,1.079 B,237.238 M,77.740 M,6.372 B,3.772 B,0,83.433 M
12/31/2018,MTCH,1.117 B,-247.424 M,-98.092 M,6.875 B,4.031 B,0,83.602 M
3/31/2019,MTCH,464.625 M,120.224 M,88.700 M,7.160 B,4.380 B,0,83.905 M
6/30/2019,MTCH,497.973 M,126.665 M,32.680 M,8.299 B,5.316 B,0,84.139 M
9/30/2019,MTCH,541.493 M,138.225 M,36.609 M,8.305 B,5.408 B,0,84.393 M
12/31/2019,MTCH,547.167 M,142.070 M,38.397 M,8.365 B,5.437 B,0,84.603 M
3/31/2020,MTCH,544.642 M,143.894 M,43.770 M,8.435 B,6.010 B,0,84.839 M
6/30/2020,MTCH,555.450 M,148.853 M,41.929 M,2.335 B,4.043 B,0,183.477 M
9/30/2020,MTCH,639.770 M,169.823 M,39.280 M,2.670 B,4.113 B,0,260.744 M
12/31/2020,MTCH,651.407 M,173.263 M,44.832 M,3.046 B,4.461 B,0,267.329 M
3/31/2021,MTCH,667.612 M,179.455 M,55.576 M,3.215 B,4.429 B,0,270.082 M
6/30/2021,MTCH,707.760 M,193.099 M,52.133 M,4.434 B,4.576 B,0,276.653 M
9/30/2021,MTCH,801.835 M,232.211 M,66.974 M,4.894 B,4.962 B,0,277.279 M
12/31/2021,MTCH,806.070 M,234.543 M,66.366 M,5.063 B,5.267 B,0,283.470 M
3/31/2022,MTCH,798.631 M,236.236 M,78.794 M,5.043 B,5.166 B,0,285.506 M
6/30/2022,MTCH,794.513 M,240.840 M,86.410 M,4.194 B,4.647 B,0,283.162 M
9/30/2022,MTCH,809.546 M,246.962 M,87.880 M,3.915 B,4.614 B,0,279.277 M
12/31/2022,MTCH,786.153 M,235.925 M,80.555 M,4.183 B,4.543 B,0,279.625 M
3/31/2018,YELP,223.048 M,14.732 M,51.493 M,1.218 B,126.346 M,0,83.597 M
6/30/2018,YELP,234.902 M,14.708 M,52.789 M,1.198 B,99.790 M,0,83.793 M
9/30/2018,YELP,241.171 M,14.177 M,53.764 M,1.233 B,103.763 M,0,84.375 M
12/31/2018,YELP,243.740 M,14.254 M,47.754 M,1.176 B,100.045 M,0,81.997 M
3/31/2019,YELP,236.057 M,14.265 M,58.075 M,1.338 B,343.022 M,0,79.690 M
6/30/2019,YELP,246.952 M,14.975 M,54.566 M,1.083 B,336.978 M,0,71.752 M
9/30/2019,YELP,262.454 M,16.514 M,56.661 M,1.029 B,326.205 M,0,70.200 M
12/31/2019,YELP,268.823 M,16.656 M,56.198 M,1.071 B,315.709 M,0,71.185 M
3/31/2020,YELP,251.793 M,16.847 M,67.113 M,1.085 B,322.792 M,0,71.888 M
6/30/2020,YELP,170.992 M,11.825 M,53.969 M,1.073 B,292.165 M,0,73.121 M
9/30/2020,YELP,222.789 M,13.193 M,53.022 M,1.139 B,323.322 M,0,73.976 M
12/31/2020,YELP,235.205 M,15.321 M,55.996 M,1.155 B,300.413 M,0,75.272 M
3/31/2021,YELP,233.981 M,14.874 M,67.992 M,1.135 B,308.278 M,0,75.065 M
6/30/2021,YELP,258.977 M,17.993 M,68.695 M,1.105 B,301.780 M,0,74.486 M
9/30/2021,YELP,271.431 M,21.185 M,69.402 M,1.079 B,297.245 M,0,73.546 M
12/31/2021,YELP,276.170 M,24.045 M,59.111 M,1.051 B,299.210 M,0,72.171 M
3/31/2022,YELP,279.476 M,23.429 M,80.685 M,1.045 B,320.557 M,0,71.559 M
6/30/2022,YELP,301.567 M,26.988 M,76.848 M,1.023 B,304.564 M,0,71.119 M
9/30/2022,YELP,311.873 M,26.805 M,75.803 M,1.030 B,328.956 M,0,70.399 M
12/31/2022,YELP,312.612 M,28.483 M,72.225 M,1.016 B,305.598 M,0,69.797 M
4/28/2018,CSCO,12.463 B,4.704 B,1.590 B,114.008 B,67.347 B,1.900 B,4.734 B
7/28/2018,CSCO,12.844 B,4.922 B,1.626 B,,,,
10/27/2018,CSCO,12.846 B,4.926 B,1.608 B,105.429 B,61.581 B,1.572 B,4.517 B
1/26/2019,CSCO,12.289 B,4.673 B,1.557 B,102.462 B,61.673 B,1.701 B,4.424 B
4/27/2019,CSCO,12.700 B,4.785 B,1.659 B,97.287 B,60.483 B,1.513 B,4.313 B
7/27/2019,CSCO,13.428 B,4.854 B,1.753 B,97.793 B,64.222 B,1.383 B,4.250 B
10/26/2019,CSCO,13.036 B,4.695 B,1.666 B,92.492 B,58.069 B,1.344 B,4.241 B
1/25/2020,CSCO,11.920 B,4.241 B,1.570 B,90.426 B,54.893 B,1.353 B,4.241 B
4/25/2020,CSCO,11.931 B,4.212 B,1.546 B,91.394 B,55.686 B,1.212 B,4.220 B
7/25/2020,CSCO,12.154 B,4.470 B,1.565 B,94.853 B,56.933 B,1.282 B,4.237 B
10/24/2020,CSCO,11.897 B,4.348 B,1.612 B,95.003 B,56.846 B,1.303 B,4.222 B
1/23/2021,CSCO,11.923 B,4.176 B,1.527 B,95.601 B,56.480 B,1.436 B,4.221 B
5/1/2021,CSCO,12.779 B,4.618 B,1.697 B,93.896 B,53.691 B,1.579 B,4.215 B
7/31/2021,CSCO,13.091 B,4.782 B,1.713 B,97.497 B,56.222 B,1.559 B,4.217 B
10/30/2021,CSCO,12.882 B,4.847 B,1.714 B,95.981 B,53.280 B,1.832 B,4.217 B
1/29/2022,CSCO,12.695 B,4.671 B,1.670 B,94.262 B,54.766 B,2.059 B,4.151 B
4/30/2022,CSCO,12.762 B,4.714 B,1.708 B,92.797 B,52.397 B,2.231 B,4.149 B
7/30/2022,CSCO,13.037 B,5.077 B,1.682 B,94.002 B,54.229 B,2.568 B,4.110 B
10/29/2022,CSCO,13.563 B,5.286 B,1.781 B,93.054 B,52.782 B,2.664 B,4.103 B
1/28/2023,CSCO,13.516 B,5.165 B,1.855 B,95.840 B,54.366 B,3.140 B,4.095 B
7/29/2018,CSCO,,,,109.872 B,65.580 B,1.544 B,4.722 B
6/1/2018,ADBE,2.195 B,17.400 M,374.128 M,15.163 B,6.458 B,0,490.435 M
8/31/2018,ADBE,2.291 B,295.492 M,398.957 M,15.396 B,6.534 B,0,489.007 M
11/30/2018,ADBE,2.465 B,-744.438 M,415.958 M,18.769 B,9.407 B,0,487.663 M
3/1/2019,ADBE,2.601 B,58 M,465 M,19.506 B,9.634 B,0,488.504 M
