,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding
11/30/2020,ORCL,9.184 B,1.939 B,1.601 B,110.014 B,102.097 B,0,2.952 B
2/28/2021,ORCL,9.482 B,1.915 B,1.621 B,118.109 B,109.209 B,0,2.895 B
5/31/2021,ORCL,40.479 B,2.122 B,1.715 B,131.107 B,125.869 B,142 M,2.814 B
8/31/2021,ORCL,8.988 B,2.103 B,1.684 B,122.924 B,124.465 B,0,2.743 B
11/30/2021,ORCL,9.635 B,2.159 B,1.754 B,106.897 B,116.998 B,0,2.671 B
2/28/2022,ORCL,9.817 B,2.218 B,1.816 B,108.644 B,117.340 B,0,2.668 B
5/31/2022,ORCL,42.440 B,2.397 B,1.965 B,109.297 B,115.517 B,314 M,2.665 B
8/31/2022,ORCL,10.587 B,3.037 B,2.093 B,130.309 B,136.184 B,0,2.696 B
11/30/2022,ORCL,11.364 B,3.358 B,2.158 B,128.469 B,132.715 B,0,2.695 B
2/28/2023,ORCL,11.435 B,3.439 B,2.146 B,131.620 B,134.041 B,0,2.700 B
3/31/2018,MSFT,26.819 B,9.269 B,3.715 B,245.497 B,166.258 B,2.084 B,7.690 B
6/30/2018,MSFT,30.085 B,9.742 B,3.933 B,258.848 B,176.130 B,2.662 B,7.677 B
9/30/2018,MSFT,28.615 B,9.905 B,3.977 B,257.619 B,171.652 B,3.614 B,7.680 B
12/31/2018,MSFT,31.796 B,12.423 B,4.070 B,258.859 B,166.731 B,1.961 B,7.683 B
3/31/2019,MSFT,29.993 B,10.170 B,4.316 B,263.281 B,168.417 B,1.951 B,7.666 B
6/30/2019,MSFT,33.717 B,10.412 B,4.513 B,286.556 B,184.226 B,2.063 B,7.643 B
9/30/2019,MSFT,32.428 B,10.406 B,4.565 B,278.955 B,172.894 B,2.622 B,7.634 B
12/31/2019,MSFT,36.322 B,12.358 B,4.603 B,282.794 B,172.685 B,1.823 B,7.611 B
3/31/2020,MSFT,34.315 B,10.975 B,4.887 B,285.449 B,170.948 B,1.644 B,7.590 B
6/30/2020,MSFT,38.033 B,12.339 B,5.214 B,301.311 B,183.007 B,1.895 B,7.571 B
9/30/2020,MSFT,36.724 B,11.002 B,4.926 B,301.001 B,177.609 B,2.705 B,7.564 B
12/31/2020,MSFT,42.558 B,14.194 B,4.899 B,304.137 B,173.901 B,1.924 B,7.546 B
3/31/2021,MSFT,41.059 B,13.045 B,5.204 B,308.879 B,174.374 B,2.245 B,7.534 B
6/30/2021,MSFT,45.595 B,13.991 B,5.687 B,333.779 B,191.791 B,2.636 B,7.519 B
9/30/2021,MSFT,44.743 B,13.646 B,5.599 B,335.418 B,183.440 B,3.411 B,7.510 B
12/31/2021,MSFT,51.228 B,16.960 B,5.758 B,340.389 B,180.379 B,3.019 B,7.500 B
3/31/2022,MSFT,48.732 B,15.615 B,6.306 B,344.607 B,181.683 B,3.296 B,7.483 B
6/30/2022,MSFT,51.406 B,16.429 B,6.849 B,364.840 B,198.298 B,3.742 B,7.464 B
9/30/2022,MSFT,49.636 B,15.452 B,6.628 B,359.784 B,186.218 B,4.268 B,7.457 B
12/31/2022,MSFT,52.032 B,17.488 B,6.844 B,364.552 B,181.416 B,2.980 B,7.447 B
5/4/2018,DELL,21.356 B,15.478 B,1.087 B,123.217 B,105.393 B,2.933 B,768 M
8/3/2018,DELL,22.942 B,16.819 B,1.175 B,123.381 B,106.114 B,3.642 B,768 M
11/2/2018,DELL,22.482 B,16.539 B,1.140 B,121.241 B,104.721 B,3.793 B,769 M
2/1/2019,DELL,23.841 B,16.732 B,1.202 B,111.820 B,111.566 B,3.649 B,719 M
5/3/2019,DELL,21.908 B,81 M,1.176 B,109.892 B,109.779 B,3.360 B,719 M
8/2/2019,DELL,23.370 B,179 M,1.229 B,115.520 B,111.401 B,3.135 B,724 M
11/1/2019,DELL,22.844 B,215 M,1.262 B,116.814 B,112.003 B,3.257 B,729 M
1/31/2020,DELL,24.032 B,107 M,-1.213 B,118.861 B,115.077 B,3.281 B,743 M
5/1/2020,DELL,20.078 B,159 M,1.265 B,120.236 B,116.555 B,3.616 B,740 M
7/31/2020,DELL,20.853 B,174 M,1.259 B,121.276 B,116.108 B,3.602 B,745 M
10/30/2020,DELL,21.589 B,102 M,1.360 B,118.948 B,112.482 B,3.393 B,749 M
1/29/2021,DELL,24.150 B,143 M,-1.429 B,123.415 B,115.390 B,3.403 B,753 M
4/30/2021,DELL,22.590 B,163 M,619 M,121.752 B,112.608 B,3.828 B,764 M
7/30/2021,DELL,24.191 B,142 M,697 M,122.678 B,112.735 B,4.223 B,765 M
10/29/2021,DELL,26.424 B,162 M,650 M,135.677 B,121.483 B,5.442 B,767 M
1/28/2022,DELL,27.992 B,116 M,611 M,92.735 B,94.315 B,5.898 B,757 M
4/29/2022,DELL,26.116 B,204 M,681 M,88.406 B,90.761 B,6.277 B,747 M
7/29/2022,DELL,26.425 B,164 M,626 M,88.775 B,91.530 B,5.883 B,734 M
10/28/2022,DELL,24.721 B,164 M,677 M,85.172 B,88.540 B,6.172 B,718 M
2/3/2023,DELL,25.039 B,195 M,795 M,89.611 B,92.636 B,4.776 B,716 M
3/31/2018,AMZN,50.712 B,30.735 B,6.759 B,126.362 B,94.899 B,13.840 B,485 M
6/30/2018,AMZN,52.543 B,30.632 B,7.247 B,134.100 B,99.105 B,14.824 B,487 M
9/30/2018,AMZN,56.218 B,33.003 B,7.162 B,143.695 B,104.570 B,15.862 B,489 M
12/31/2018,AMZN,72.383 B,44.786 B,7.669 B,162.648 B,119.099 B,17.174 B,491 M
3/31/2019,AMZN,59.339 B,33.920 B,7.927 B,178.102 B,129.692 B,16.432 B,492 M
