End,Name,totalRevenue,totalAssets,totalLiabilities,commonStockSharesOutstanding,GDP,Interest,Inflation,SP,Cons_Sent,Fin_Stress,Cash_On_Hand,Unemployment_Rate,Recession_probability,Corporate_Profits,Volume,st_dev,open,close,% delta,class
2022-03-31 00:00:00-04:00,MTCH,-0.009228727,-0.003950227,-0.019176002,0.007182418,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155,13932684.62,11.5302574,132.8950043,100.4800034,-0.243914368,0
2022-06-30 00:00:00-04:00,MTCH,-0.005156324,-0.168352171,-0.100464576,-0.008209985,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562,16197592.31,11.55923834,110.1399994,75.23999786,-0.316869455,0
2022-09-30 00:00:00-04:00,MTCH,0.018921025,-0.066523605,-0.007101356,-0.013720061,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295,15682946.15,8.19681071,70.61000061,48.29000092,-0.316102528,0
2022-12-31 00:00:00-04:00,MTCH,-0.028896443,0.068454662,-0.01538795,0.001246075,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002,21868846.15,3.153255843,48.47000122,42.34999847,-0.126263722,0
2018-06-30 00:00:00-04:00,YELP,0.053145511,-0.016420361,-0.210184731,0.002344582,0.015614161,0.161903286,0.138620043,-0.011103063,-0.006066734,-0.446735395,-0.125672619,-0.025,-0.222222222,0.025792936,7521146.154,1.895675795,41.59000015,39.95999908,-0.039192139,0
2018-09-30 00:00:00-04:00,YELP,0.026687725,0.029215359,0.039813609,0.006945688,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353,11065630.77,4.449091231,38.77999878,46.29999924,0.193914407,1
2018-12-31 00:00:00-04:00,YELP,0.010652193,-0.04622871,-0.035831655,-0.028183704,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232,13631600,6.367479852,49.65000153,34.56000137,-0.303927486,0
2019-03-31 00:00:00-04:00,YELP,-0.031521293,0.137755102,2.428677095,-0.028135176,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876,9368623.077,1.845869864,34.61999893,35.40000153,0.022530405,1
2019-06-30 00:00:00-04:00,YELP,0.046154107,-0.19058296,-0.017619861,-0.099610993,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195,7484976.923,2.994358269,34.90000153,34.91999817,0.00057297,1
2019-09-30 00:00:00-04:00,YELP,0.062773332,-0.049861496,-0.031969446,-0.021630059,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894,6560842.857,1.411684793,34.75,32.72000122,-0.058417231,0
2019-12-31 00:00:00-04:00,YELP,0.02426711,0.040816327,-0.032176086,0.014031339,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102,4469438.462,0.853334971,33.27000046,35.27999878,0.060414737,1
2020-03-31 00:00:00-04:00,YELP,-0.063350234,0.013071895,0.022435217,0.009875676,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177,6028938.462,6.871931429,34.41999817,19.69000053,-0.427948821,0
2020-06-30 00:00:00-04:00,YELP,-0.320902487,-0.011059908,-0.094881534,0.01715168,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143,7343476.923,2.548450876,17.92000008,23.14999962,0.291852652,1
2020-09-30 00:00:00-04:00,YELP,0.302920604,0.061509786,0.106641795,0.011692947,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008,5600276.923,1.475146298,22.95000076,20.71999931,-0.097167816,0
2020-12-31 00:00:00-04:00,YELP,0.055729861,0.01404741,-0.070855061,0.017519195,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814,6101307.692,5.243743138,21.01000023,32.52999878,0.548310253,1
2021-03-31 00:00:00-04:00,YELP,-0.005203971,-0.017316017,0.026180625,-0.002750027,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408,5539484.615,3.748796875,32.50999832,40.54999924,0.247308561,1
2021-06-30 00:00:00-04:00,YELP,0.106829187,-0.026431718,-0.021078377,-0.007713315,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624,3072030.769,1.247674871,42.06999969,39.34999847,-0.064654177,0
2021-09-30 00:00:00-04:00,YELP,0.048089213,-0.023529412,-0.015027503,-0.012619821,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477,3430307.692,1.644221711,40.88999939,38.84000015,-0.050134489,0
2021-12-31 00:00:00-04:00,YELP,0.017459317,-0.025949954,0.006610708,-0.018695782,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597,3162976.923,1.800701449,39.97999954,35.29999924,-0.117058538,0
2022-03-31 00:00:00-04:00,YELP,0.011970887,-0.005708849,0.071344541,-0.00847986,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155,3417023.077,1.440913082,36.40000153,33.81000137,-0.071153847,0
2022-06-30 00:00:00-04:00,YELP,0.079044354,-0.021052632,-0.049891283,-0.006148772,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562,4431000,2.043803474,34.47000122,28.05999947,-0.185958849,0
2022-09-30 00:00:00-04:00,YELP,0.034174827,0.00684262,0.080088257,-0.010123877,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295,3586707.692,3.696711217,27.32999992,35.33000183,0.292718695,1
2022-12-31 00:00:00-04:00,YELP,0.002369554,-0.013592233,-0.071006457,-0.008551258,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002,3705761.538,4.037040338,34.08000183,28.57999992,-0.161385024,0
2018-07-28 00:00:00-04:00,CSCO,0.030570489,,,,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353,107582246.2,0.984383189,38.60886999,37.09941864,-0.039095973,0
2018-10-27 00:00:00-04:00,CSCO,0.000155715,,,,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232,100977923.1,1.799106883,36.77892165,39.66119766,0.078367605,1
2019-01-26 00:00:00-04:00,CSCO,-0.043359801,-0.028142162,0.001493967,-0.020588886,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876,121671461.5,1.596413458,39.14668331,41.6028862,0.062743576,1
2019-04-27 00:00:00-04:00,CSCO,0.033444544,-0.050506529,-0.019295316,-0.025090416,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195,95884784.62,3.187925817,40.18800086,48.58753204,0.209005947,1
2019-07-27 00:00:00-04:00,CSCO,0.057322835,0.005201106,0.061819024,-0.014607002,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894,105735861.5,1.755454579,49.233125,47.39014435,-0.037433753,0
2019-10-26 00:00:00-04:00,CSCO,-0.029192732,-0.054206334,-0.09580829,-0.002117647,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102,97663646.15,2.552293711,50.45159095,42.17162323,-0.164117079,0
2020-01-25 00:00:00-04:00,CSCO,-0.085609083,-0.022337067,-0.054693554,0,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177,93009069.23,1.404411922,42.27922924,41.52416611,-0.017858962,0
2020-04-25 00:00:00-04:00,CSCO,0.000922819,0.010704886,0.014446286,-0.004951662,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143,157455607.7,4.352116806,43.25847807,37.31300354,-0.137440677,0
2020-07-25 00:00:00-04:00,CSCO,0.018690805,0.037847123,0.02239342,0.004028436,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008,112096992.3,1.878102697,38.93610339,43.28657532,0.111733624,1
2020-10-24 00:00:00-04:00,CSCO,-0.021145302,0.001581394,-0.001528112,-0.003540241,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814,111529869.2,2.810544493,42.88220092,33.29769516,-0.223507785,0
2021-01-23 00:00:00-04:00,CSCO,0.002185425,0.006294538,-0.006438448,-0.000236855,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408,106201730.8,2.739795723,35.61647606,41.68384171,0.170352778,1
2021-05-01 00:00:00-04:00,CSCO,0.071794012,-0.017834541,-0.049380312,-0.001421464,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624,102238907.7,2.834333397,42.00175026,50.31705475,0.19797519,1
2021-07-31 00:00:00-04:00,CSCO,0.024415056,0.038350941,0.047140117,0.000474496,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477,87659323.08,1.040653493,48.22639552,52.71620178,0.093098524,1
2021-10-30 00:00:00-04:00,CSCO,-0.015965167,-0.015549196,-0.05232827,0,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597,77641853.85,1.407135538,52.72568323,54.48529816,0.033373013,1
2022-01-29 00:00:00-04:00,CSCO,-0.014516379,-0.017909795,0.02789039,-0.015650937,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155,110197800,2.794171014,53.33964545,52.96251297,-0.007070397,0
2022-04-30 00:00:00-04:00,CSCO,0.005277668,-0.015541788,-0.043256765,-0.000481812,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562,102570084.6,1.609755008,53.23140578,47.69777679,-0.103954215,0
2022-07-30 00:00:00-04:00,CSCO,0.021548347,0.012985334,0.034963834,-0.009399855,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295,115744823.1,2.50332626,47.70744429,43.91241837,-0.079547877,0
2022-10-29 00:00:00-04:00,CSCO,0.040346706,-0.010084892,-0.02668314,-0.001703163,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002,95050115.38,2.458028976,43.96120208,43.83782196,-0.002806568,0
2023-01-28 00:00:00-04:00,CSCO,-0.00346531,0.029939605,0.030010231,-0.001949793,,-0.007773642,0.007543269,0.038445263,0.098639456,0.224082421,,-0.027777778,,,85327053.85,1.567448595,44.61571772,48.26743698,0.081848269,1
2018-07-29 00:00:00-04:00,CSCO,,0.146410684,0.206268624,0.153113553,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353,107582246.2,0.984383189,38.60886999,37.09941864,-0.039095973,0
2018-08-31 00:00:00-04:00,ADBE,0.043735763,0.015366352,0.011768349,-0.002911701,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353,14119523.08,6.519742369,252.8500061,260.8699951,0.031718366,1
2018-11-30 00:00:00-04:00,ADBE,0.075949367,0.219082879,0.439700031,-0.002748427,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232,19142338.46,13.94595723,263.6700134,238,-0.09735659,0
2019-03-01 00:00:00-04:00,ADBE,0.055172414,0.039266876,0.024130966,0.001724552,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876,16786907.69,16.56064581,260.7099915,254.7400055,-0.022898953,0
2019-05-31 00:00:00-04:00,ADBE,0.054978854,0.008202604,0.010379905,-0.004567005,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195,12729653.85,8.703337575,266.7000122,278.1600037,0.042969595,1
2019-08-30 00:00:00-04:00,ADBE,0.032798834,0.019780332,0.00801315,-0.002817347,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894,12397838.46,13.51120034,270.5100098,284.9400024,0.053343655,1
2019-11-29 00:00:00-04:00,ADBE,0.055751588,0.035253054,0.042804729,-0.005287655,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102,13165176.92,10.07818194,284.25,306.230011,0.077326336,1
2020-02-28 00:00:00-04:00,ADBE,0.033088235,0.021770542,0.050527756,0.001370405,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177,11711438.46,21.23693426,309.2200012,336.769989,0.089095103,1
2020-05-29 00:00:00-04:00,ADBE,0.011970236,0.018336947,-0.002511862,-0.00621118,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143,19624807.69,31.51518866,349.8099976,392.8999939,0.123181146,1
2020-08-28 00:00:00-04:00,ADBE,0.03101023,0.037541082,-0.00195859,0,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008,13650030.77,28.23332457,387.0799866,491.9400024,0.270900123,1
2020-11-27 00:00:00-04:00,ADBE,0.061705426,0.083429999,0.029810298,-0.002083333,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814,14303576.92,20.15743319,513.8599854,486,-0.054217075,0
2021-03-05 00:00:00-04:00,ADBE,0.140478972,0.028866744,0.038021779,0,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408,12529815.38,15.70511259,487,444.2999878,-0.087679697,0
2021-06-04 00:00:00-04:00,ADBE,-0.017925736,0.023894337,0.025439287,-0.004175365,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624,11299738.46,27.68362497,439.7600098,541.2600098,0.230807708,1
2021-09-03 00:00:00-04:00,ADBE,0.026075619,0.021968572,0,-0.002096436,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477,8654853.846,43.79497609,504.9899902,658.9400024,0.304857552,1
